,Product Name,Supported_apps,sound_system,OS,Resolution,Price,Rating
0,"realme Narzo 50i (Carbon Black, 32 GB)",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,5000 mAh Battery,16.51 cm (6.5 inch) Display,8MP Rear Camera | 5MP Front Camera,"₹7,499₹7,9996% off","4.527,936 Ratings & 1,022 Reviews"
1,"realme Narzo 50i (Carbon Black, 32 GB)",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,5000 mAh Battery,16.51 cm (6.5 inch) Display,8MP Rear Camera | 5MP Front Camera,"₹7,499₹7,9996% off","4.527,936 Ratings & 1,022 Reviews"
2,"realme Narzo 50i (Mint Green, 32 GB)",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,5000 mAh Battery,16.51 cm (6.5 inch) Display,8MP Rear Camera | 5MP Front Camera,"₹7,499₹7,9996% off","4.41,40,663 Ratings & 8,158 Reviews"
3,"realme Narzo 50A (Oxygen Green, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,6000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,"₹11,499₹12,99911% off","4.41,40,663 Ratings & 8,158 Reviews"
4,"realme Narzo 50A (Oxygen Green, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,6000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,"₹12,499₹13,99910% off","4.595,536 Ratings & 5,558 Reviews"
5,"realme 8i (Space Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,5000 mAh Battery,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,"₹13,999₹15,99912% off","4.569,731 Ratings & 2,438 Reviews"
6,"realme C25Y (Metal Grey, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,5000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,"₹10,999₹12,99915% off","4.41,40,663 Ratings & 8,158 Reviews"
7,"realme Narzo 50A (Oxygen Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,6000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,"₹11,499₹12,99911% off","4.41,40,663 Ratings & 8,158 Reviews"
8,"realme Narzo 50A (Oxygen Blue, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,6000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,"₹12,499₹13,99910% off","4.436,346 Ratings & 2,492 Reviews"
9,"realme 8i (Space Purple, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,5000 mAh Battery,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,"₹15,999₹17,99911% off","4.51,86,348 Ratings & 6,917 Reviews"
